"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,5.6568542494923838E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000063E+002
0.0002,5.5900845240167791E+002,6.1466535092559393E-002,-1.0482841458336496E+000,9.8681761074109020E-001,3.1223797902232678E+002,-5.6300936148562050E+002,2.5077138246329378E+002,7.8942286454603391E+002
0.0004,5.5236835229029589E+002,1.2274589589433305E-001,-6.7338012915876000E+000,6.6110553956932669E+000,3.3956330151907639E+002,-5.5638058439804649E+002,2.1681728287897016E+002,7.9929783781784647E+002
0.0006,5.4583176225882835E+002,1.8354083472227600E-001,-1.5960197741805949E+001,1.5776656907083673E+001,3.6670170884112144E+002,-5.4986239941931558E+002,1.8316069057819419E+002,8.2783434021205585E+002
0.0008,5.3942005523052126E+002,2.4361142172740102E-001,-2.4850075922782121E+001,2.4606464501054720E+001,3.9354004511052210E+002,-5.4346842488246511E+002,1.4992837977194296E+002,8.5940123248574332E+002
0.001,5.3310322195698313E+002,3.0272058574643879E-001,-2.9589943635705986E+001,2.9287223049959547E+001,4.1994095666307197E+002,-5.3716102485942201E+002,1.1722006819635010E+002,8.7793673222304847E+002
0.0012002,5.2679505125899425E+002,3.6069228969005707E-001,-2.6520599973476106E+001,2.6159907683786049E+001,4.4576966025345803E+002,-5.3084667012493014E+002,8.5077009871472058E+001,8.6768713616152581E+002
0.0014002,5.2038107302547132E+002,4.1718195621742460E-001,-1.2251205311348308E+001,1.1834023355130883E+001,4.7079324143395957E+002,-5.2440410946895531E+002,5.3610868034995804E+001,8.1455302058358347E+002
0.0016002,5.1374353016242696E+002,4.4999101314923151E-001,-9.2364724147000765E-001,4.7365622832077614E-001,4.8386767755913468E+002,-4.9570028514490707E+002,1.1832607585772394E+001,7.4416126182350285E+002
0.0018002,5.0706942801854200E+002,4.9155886931940690E-001,-9.3571243517284763E-001,4.4415356585344073E-001,5.0131457331155701E+002,-4.7761192157857391E+002,-2.3702651732983099E+001,7.3657624208855225E+002
0.0020002,5.0041064681223588E+002,6.4593238369402179E+000,-6.8578367085271408E+000,3.9851287158692278E-001,5.0442295513917946E+002,-4.5146811261928769E+002,-5.2954842519891770E+001,7.3415745130301093E+002
0.0022002,4.9402873326118879E+002,4.3898855637028277E+001,-4.4240378987189544E+001,3.4152335016126961E-001,4.9811587635120344E+002,-4.1981978401774086E+002,-7.8296092333462582E+001,8.5061812889105954E+002
0.0024002,4.8835471288744833E+002,1.1190627760671119E+002,-1.1218946359881089E+002,2.8318599209970502E-001,4.9257782369611732E+002,-3.8788204949076561E+002,-1.0469577420535171E+002,1.1115759566536385E+003
0.0026002,4.8376277362278267E+002,2.0536115390292082E+002,-2.0558488493122351E+002,2.2373102830269556E-001,4.8817274372609950E+002,-3.5595199787979982E+002,-1.3222074584629968E+002,1.5183571164347688E+003
0.0028002,4.8055458101186230E+002,3.1852922418570677E+002,-3.1869261728605670E+002,1.6339310034995788E-001,4.8519083310791996E+002,-3.2429204842540742E+002,-1.6089878468251254E+002,2.0700689505704245E+003
0.003,4.7895278443684646E+002,4.4507428969296058E+002,-4.4517676125236159E+002,1.0247155940099691E-001,4.8384206869293871E+002,-2.9315686528269629E+002,-1.9068520341024239E+002,2.7574265997793859E+003
0.0032,4.7909098355902614E+002,5.7873294892435513E+002,-5.7877403383442140E+002,4.1084910066234978E-002,4.8424752320327821E+002,-2.6266623717719108E+002,-2.2158128602608710E+002,3.5615001862774734E+003
0.0034,4.8102038701574230E+002,7.1270464149136944E+002,-7.1268417760873081E+002,-2.0463882638648567E-002,4.8644480436965102E+002,-2.3299045063357013E+002,-2.5345435373608086E+002,4.4472220957995678E+003
0.0036,4.8470056286733256E+002,8.4031528067229681E+002,-8.4023334875854903E+002,-8.1931913747815943E-002,4.9038013241606814E+002,-2.0422406836821017E+002,-2.8615606404785797E+002,5.3658423127108626E+003
0.0038,4.9000303532945969E+002,9.5505867279632037E+002,-9.5491559619929581E+002,-1.4307659702455122E-001,4.9591201968340033E+002,-1.7641763979119753E+002,-3.1949437989220280E+002,6.2563923593549825E+003
0.004,4.9671458606592040E+002,1.0507546390918446E+003,-1.0505509824695064E+003,-2.0365662233824858E-001,5.0281488815800753E+002,-1.4957903108167017E+002,-3.5323585707633742E+002,7.0498811293668723E+003
0.0042,5.0454261536343171E+002,1.1216993138820990E+003,-1.1214358809740936E+003,-2.6343290800536939E-001,5.1078473123094136E+002,-1.2367577989646372E+002,-3.8710895133447764E+002,7.6752109198587050E+003
0.0044002,5.1313125423847896E+002,1.1628289108511688E+003,-1.1625066831683143E+003,-3.2222768285447578E-001,5.1945555324569091E+002,-9.8613774081927261E+001,-4.2084177916376370E+002,8.0664785917328709E+003
0.0046002,5.2203524055660296E+002,1.1697098611617428E+003,-1.1693301696844396E+003,-3.7969147730306763E-001,5.2837322617898258E+002,-7.4340684592408707E+001,-4.5403254158657381E+002,8.1690945566941909E+003
0.0048002,5.3078266038429035E+002,1.1388997194395286E+003,-1.1384640626365733E+003,-4.3565680295528475E-001,5.3705895232475382E+002,-5.0700856856550843E+001,-4.8635809546820292E+002,7.9492554236977521E+003
0.0050002,5.3885284096311966E+002,1.0678356897720773E+003,-1.0673457869818385E+003,-4.8990279023890382E-001,5.4498693460009804E+002,-2.7541827229446881E+001,-5.1744510737065116E+002,7.3979153814373694E+003
0.0052002,5.4569757885518845E+002,9.5495835342476437E+002,-9.5441613806973965E+002,-5.4221535502475138E-001,5.5160585204325207E+002,-4.6949774018439712E+000,-5.4691087464140810E+002,6.5352406989406963E+003
0.0054002,5.5078714660804883E+002,8.0844940969463471E+002,-7.9044728112266546E+002,-1.8002128571969269E+001,5.5638493212678736E+002,-7.7244438010632166E-001,-5.5561248774668104E+002,5.4259145701500693E+003
