"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,1.0000000000000000E+001,1.0000000000000000E+001,1.5000000000000000E+001,1.5000000000000000E+001
0.02,1.0298038000000000E+001,1.0298038000000000E+001,1.4803800000000003E+001,1.4803800000000003E+001
0.04,1.0592152000000002E+001,1.0592152000000002E+001,1.4607600000000005E+001,1.4607600000000005E+001
0.06,1.0882342000000003E+001,1.0882342000000003E+001,1.4411400000000008E+001,1.4411400000000008E+001
0.08,1.1168608000000001E+001,1.1168608000000001E+001,1.4215200000000010E+001,1.4215200000000010E+001
0.1,1.1450950000000001E+001,1.1450950000000001E+001,1.4019000000000013E+001,1.4019000000000013E+001
0.12,1.1729368000000003E+001,1.1729368000000003E+001,1.3822800000000015E+001,1.3822800000000015E+001
0.14,1.2003862000000003E+001,1.2003862000000003E+001,1.3626600000000018E+001,1.3626600000000018E+001
0.16,1.2274432000000003E+001,1.2274432000000003E+001,1.3430400000000020E+001,1.3430400000000020E+001
0.18,1.2541078000000004E+001,1.2541078000000004E+001,1.3234200000000023E+001,1.3234200000000023E+001
0.2,1.2803800000000006E+001,1.2803800000000006E+001,1.3038000000000025E+001,1.3038000000000025E+001
0.22,1.3062598000000005E+001,1.3062598000000005E+001,1.2841800000000028E+001,1.2841800000000028E+001
0.24,1.3317472000000004E+001,1.3317472000000004E+001,1.2645600000000030E+001,1.2645600000000030E+001
0.26,1.3568422000000005E+001,1.3568422000000005E+001,1.2449400000000033E+001,1.2449400000000033E+001
0.28,1.3815448000000009E+001,1.3815448000000009E+001,1.2253200000000035E+001,1.2253200000000035E+001
0.3,1.4058550000000009E+001,1.4058550000000009E+001,1.2057000000000038E+001,1.2057000000000038E+001
0.32,1.4297728000000008E+001,1.4297728000000008E+001,1.1860800000000040E+001,1.1860800000000040E+001
0.34,1.4532982000000009E+001,1.4532982000000009E+001,1.1664600000000043E+001,1.1664600000000043E+001
0.36,1.4764312000000013E+001,1.4764312000000013E+001,1.1468400000000045E+001,1.1468400000000045E+001
0.38,1.4991718000000011E+001,1.4991718000000011E+001,1.1272200000000048E+001,1.1272200000000048E+001
0.4,1.5215200000000012E+001,1.5215200000000012E+001,1.1076000000000050E+001,1.1076000000000050E+001
0.42,1.5434758000000015E+001,1.5434758000000015E+001,1.0879800000000053E+001,1.0879800000000053E+001
0.44,1.5650392000000016E+001,1.5650392000000016E+001,1.0683600000000055E+001,1.0683600000000055E+001
0.46,1.5862102000000014E+001,1.5862102000000014E+001,1.0487400000000058E+001,1.0487400000000058E+001
0.48,1.6069888000000017E+001,1.6069888000000017E+001,1.0291200000000060E+001,1.0291200000000060E+001
0.5,1.6273750000000017E+001,1.6273750000000017E+001,1.0095000000000063E+001,1.0095000000000063E+001
0.52,1.6473688000000017E+001,1.6473688000000017E+001,9.8988000000000653E+000,9.8988000000000653E+000
0.54,1.6669702000000022E+001,1.6669702000000022E+001,9.7026000000000678E+000,9.7026000000000678E+000
0.56,1.6861792000000023E+001,1.6861792000000023E+001,9.5064000000000703E+000,9.5064000000000703E+000
0.58,1.7049958000000021E+001,1.7049958000000021E+001,9.3102000000000729E+000,9.3102000000000729E+000
0.6,1.7234200000000023E+001,1.7234200000000023E+001,9.1140000000000754E+000,9.1140000000000754E+000
0.62,1.7414518000000026E+001,1.7414518000000026E+001,8.9178000000000779E+000,8.9178000000000779E+000
0.64,1.7590912000000028E+001,1.7590912000000028E+001,8.7216000000000804E+000,8.7216000000000804E+000
0.66,1.7763382000000028E+001,1.7763382000000028E+001,8.5254000000000829E+000,8.5254000000000829E+000
0.68,1.7931928000000031E+001,1.7931928000000031E+001,8.3292000000000854E+000,8.3292000000000854E+000
0.7,1.8096550000000036E+001,1.8096550000000036E+001,8.1330000000000879E+000,8.1330000000000879E+000
0.72,1.8257248000000036E+001,1.8257248000000036E+001,7.9368000000000904E+000,7.9368000000000904E+000
0.74,1.8414022000000035E+001,1.8414022000000035E+001,7.7406000000000930E+000,7.7406000000000930E+000
0.76,1.8566872000000039E+001,1.8566872000000039E+001,7.5444000000000955E+000,7.5444000000000955E+000
0.78,1.8715798000000042E+001,1.8715798000000042E+001,7.3482000000000980E+000,7.3482000000000980E+000
0.8,1.8860800000000044E+001,1.8860800000000044E+001,7.1520000000001005E+000,7.1520000000001005E+000
0.82,1.9001878000000044E+001,1.9001878000000044E+001,6.9558000000001030E+000,6.9558000000001030E+000
0.84,1.9139032000000046E+001,1.9139032000000046E+001,6.7596000000001055E+000,6.7596000000001055E+000
0.86,1.9272262000000051E+001,1.9272262000000051E+001,6.5634000000001080E+000,6.5634000000001080E+000
