"time","outputs"
0,2.8284271247461902E+02
0.0002,2.7950415444129669E+02
0.0004,2.7618412444103404E+02
0.0006001,2.7291424403655549E+02
0.0008001,2.6970845228061143E+02
0.0010001,2.6655006941557781E+02
0.0012001,2.6339913165602218E+02
0.0014001,2.6019214374529304E+02
0.0016,2.5687504161122337E+02
0.0018,2.5353799044476878E+02
0.002,2.5020858020934119E+02
0.0022001,2.4701597531575075E+02
0.0024001,2.4417896335396480E+02
0.0026001,2.4188298448865663E+02
0.0028001,2.4027886473499680E+02
0.0030001,2.3947754710052604E+02
0.0032001,2.3954746167135565E+02
0.0034001,2.4051294206691716E+02
0.0036001,2.4235372065530510E+02
0.0038001,2.4500551054192977E+02
0.0040001,2.4836165786739687E+02
0.0042001,2.5227582391996395E+02
0.0044001,2.5656563351591586E+02
0.0046001,2.6101720453633681E+02
0.0048001,2.6539045390510631E+02
0.005,2.6942317063863817E+02
0.0052,2.7284542053160044E+02
0.0054,2.7539020966450948E+02
0.0056,2.7689892484950514E+02
0.0058,2.7725939464029875E+02
0.006,2.7640649777917110E+02
0.0062,2.7517100520615344E+02
0.0064,2.7398491190495304E+02
0.0066,2.7291953160966943E+02
0.0068,2.7201864277211928E+02
0.007,2.7129753011090594E+02
0.0072,2.7074275783326021E+02
0.0074,2.7031267703629311E+02
0.0076,2.6993865314372806E+02
0.0078,2.6952698295439325E+02
0.008,2.6896145533041465E+02
0.0082,2.6810649507965871E+02
0.0084,2.6681081650676930E+02
0.0086,2.6491479581121587E+02
0.0088,2.6234360277022068E+02
0.009,2.5945860927983330E+02
0.0092001,2.5673589430916036E+02
0.0094001,2.5434770083106011E+02
0.0096001,2.5243017710945696E+02
0.0098001,2.5108573260557552E+02
0.0100001,2.5037922824827339E+02
0.0102001,2.5033651988165795E+02
0.0104001,2.5094396764619844E+02
0.0106001,2.5214891911408955E+02
0.0108001,2.5386115202578216E+02
0.0110001,2.5595524088853290E+02
0.0112001,2.5827379097774303E+02
0.0114001,2.6063146388520624E+02
0.0116001,2.6281970111175758E+02
0.0118001,2.6461203669148824E+02
0.0120001,2.6578713326261067E+02
0.0122001,2.6623148900291062E+02
0.0124001,2.6587268932200061E+02
0.0126001,2.6473632858217690E+02
0.0128001,2.6361962483172954E+02
0.0130001,2.6278723335185606E+02
0.0132001,2.6231000923233506E+02
0.0134001,2.6222613069594127E+02
0.0136001,2.6254024948446562E+02
0.0138001,2.6322348393384095E+02
0.0140001,2.6421425213283516E+02
0.0142001,2.6541992358090329E+02
0.0144001,2.6671924932477941E+02
0.0146001,2.6796551306811443E+02
0.0148001,2.6899032959944799E+02
0.0150001,2.6960800242566086E+02
0.0152001,2.6962034004673029E+02
0.0154001,2.6885190398530614E+02
0.0156001,2.6725127303256073E+02
0.0158001,2.6499674818854970E+02
0.0160001,2.6280852616442860E+02
0.0162001,2.6087703093628602E+02
0.0164001,2.5931382058037309E+02
0.0166001,2.5819747917865016E+02
0.0168001,2.5757180872387249E+02
0.0170001,2.5744489447238220E+02
0.0172001,2.5778906183594410E+02
0.0174001,2.5854172271633104E+02
0.0176001,2.5960708911313992E+02
0.0178001,2.6085871232185491E+02
0.0180001,2.6214278751761719E+02
0.0182001,2.6328214639834698E+02
0.0184001,2.6408084521521687E+02
0.0186001,2.6433368650167461E+02
0.0188001,2.6391933630328663E+02
0.0190001,2.6279660941492460E+02
0.0192001,2.6110675823181975E+02
0.0194001,2.5958663976540970E+02
0.0196001,2.5841827216900714E+02
0.0198001,2.5768787398489673E+02
0.0200001,2.5744716132863431E+02
0.0202001,2.5771217221074272E+02
0.0204001,2.5846298217845651E+02
0.0206001,2.5964431478080581E+02
0.0208001,2.6116703014877595E+02
0.0210001,2.6291045520919727E+02
0.0212001,2.6472550015431437E+02
0.0214001,2.6643848818560673E+02
0.0216001,2.6785560962742642E+02
0.0218001,2.6876789761180271E+02
0.0220001,2.6896614403836907E+02
0.0222001,2.6834405962348092E+02
0.0224001,2.6686005980792413E+02
0.0226001,2.6493294881972042E+02
0.0228001,2.6318506428201192E+02
0.0230001,2.6173322932199824E+02
0.0232001,2.6066197664672677E+02
0.0234001,2.6002255348989593E+02
0.0236001,2.5983178463690734E+02
0.0238001,2.6007179894193894E+02
0.0240001,2.6069062256445568E+02
0.0242001,2.6160362256435548E+02
0.0244001,2.6269576533593994E+02
0.0246001,2.6382463605538794E+02
0.0248001,2.6482414826841386E+02
0.0250001,2.6550885732906244E+02
0.0252001,2.6567885247439506E+02
0.0254001,2.6517065893040257E+02
0.0256001,2.6393802019707351E+02
0.0258001,2.6205172908977636E+02
0.0260001,2.6022750362978013E+02
0.0262001,2.5871593968193542E+02
0.0264001,2.5761910900031603E+02
0.0266001,2.5700511257149896E+02
0.0268001,2.5690650799609193E+02
0.0270001,2.5731962638727890E+02
0.0272001,2.5820479125364523E+02
