"time","J1_w","J2_w","J3_w","J4_w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.003,9.9714972183370083E+000,2.9999917461157821E-002,4.3368086899420177E-015,4.3352400517632167E-015
0.006,9.9457518204354471E+000,5.9999358742109266E-002,5.3013149425851225E-015,5.2981103805126495E-015
0.009,9.9227354667013863E+000,8.9997733609489927E-002,4.9266146717741321E-015,4.9214764464195271E-015
0.012,9.9023532710130837E+000,1.1999481947055735E-001,5.4539706084710815E-015,5.4469430046240932E-015
0.015,9.8843257764401162E+000,1.4998916713103583E-001,5.0515147620444623E-015,5.0430383594074979E-015
0.018,9.8688385324558219E+000,1.7998173880443780E-001,4.8294701571194310E-015,4.8197224096523432E-015
0.021,9.8558915390601989E+000,2.0997253449076325E-001,4.8294701571194310E-015,4.8186285187820724E-015
0.024,9.8447520689799486E+000,2.3995941101050455E-001,5.6343818499726694E-015,5.6226898564442961E-015
0.027,9.8355393394068393E+000,2.6994271706617567E-001,7.1054273576010019E-015,7.0931177928428685E-015
0.03,9.8284202953816528E+000,2.9992294096113525E-001,6.6613381477509392E-015,6.6486287396239709E-015
0.033,9.8230393379208927E+000,3.2989932349175177E-001,6.4948046940571658E-015,6.4818552196637725E-015
0.036,9.8184200823783545E+000,3.5986978007734294E-001,6.4392935428259079E-015,6.4261046611790883E-015
0.039,9.8152265516949253E+000,3.8983572840652236E-001,6.8833827526759706E-015,6.8700633363519850E-015
0.042,9.8134587458706051E+000,4.1979716847928827E-001,6.1062266354383610E-015,6.0928855570134699E-015
0.045,9.8123939999399639E+000,4.4975278035447808E-001,6.6058269965196814E-015,6.5925640235337987E-015
0.048,9.8119593439785238E+000,4.7970243075316787E-001,5.7731597280508140E-015,5.7600737086775566E-015
0.051,9.8115645885520486E+000,5.0964513461851801E-001,6.9944050551384862E-015,6.9814933370272431E-015
0.054,9.8113021779338219E+000,5.3958104905047755E-001,6.1062266354383610E-015,6.0934995778862434E-015
0.057,9.8104784700071335E+000,5.6950903592887769E-001,7.1054273576010019E-015,7.0927516635197755E-015
0.06,9.8092609150464174E+000,5.9942936779086509E-001,5.9952043329758453E-015,5.9824946637279222E-015
0.063,9.8069276805934198E+000,6.2934082583810635E-001,5.9952043329758453E-015,5.9823875153402044E-015
0.066,9.8035671944609035E+000,6.5924355937903201E-001,7.4384942649885488E-015,7.4254956354244060E-015
0.069,9.7990637889739691E+000,6.8913737311129708E-001,7.6605388699135801E-015,7.6472857142874295E-015
0.072,9.7929447296331471E+000,7.1902132432439281E-001,6.5503158452884236E-015,6.5366091995210467E-015
0.075,9.7850945364654738E+000,7.4889521810887594E-001,7.3274719625260332E-015,7.3131148793369831E-015
0.078,9.7753475548967632E+000,7.7875875453039889E-001,6.9944050551384862E-015,6.9791845896270217E-015
0.081,9.7635206434388095E+000,8.0861137839909247E-001,6.8833827526759706E-015,6.8670618877126217E-015
0.084,9.7494263454672083E+000,8.3845260480102546E-001,5.7731597280508140E-015,5.7554764765024977E-015
0.087,9.7328695016420728E+000,8.6828207426803949E-001,6.7723604502134549E-015,6.7530262523742464E-015
0.09,9.7138442261362066E+000,8.9809933719608814E-001,5.9952043329758453E-015,5.9742511982814422E-015
0.093,9.6924584551917743E+000,9.2790392943099143E-001,6.3282712403633923E-015,6.3062645839660944E-015
0.096,9.6683839232354050E+000,9.5769544257925610E-001,4.6629367034256575E-015,4.6401596897848509E-015
0.099,9.6414725335759055E+000,9.8747344521598990E-001,6.2172489379008766E-015,6.1940393796640290E-015
0.102,9.6115761895220775E+000,1.0172375059162899E+000,5.5511151231257827E-015,5.5278654811284431E-015
0.105,9.5789979417911528E+000,1.0469872086316041E+000,5.5511151231257827E-015,5.5276961900664120E-015
0.108,9.5441090740385768E+000,1.0767221396389424E+000,5.1070259132757201E-015,5.0826996498409329E-015
0.111,9.5064700005638407E+000,1.1064418575786625E+000,5.3290705182007514E-015,5.3035258946520882E-015
0.114,9.4660385137358105E+000,1.1361459346348575E+000,6.4392935428259079E-015,6.4121389100866149E-015
0.117,9.4227724059233484E+000,1.1658339429916165E+000,5.5511151231257827E-015,5.5218782127808097E-015
0.12,9.3769466685239244E+000,1.1955054656994815E+000,3.9968028886505635E-015,3.9650132711828128E-015
0.123,9.3289519188439858E+000,1.2251600897700499E+000,4.2188474935755949E-015,4.1840666361771359E-015
0.126,9.2787025831078385E+000,1.2547973859017958E+000,3.5527136788005009E-015,3.5144111559747162E-015
0.129,9.2264191446206336E+000,1.2844169341329676E+000,5.7731597280508140E-015,5.7308410479042124E-015
0.132,9.1724955741044329E+000,1.3140183185375660E+000,4.6629367034256575E-015,4.6162688130840949E-015
0.135,9.1170087135637754E+000,1.3436011158123753E+000,5.9952043329758453E-015,5.9437861992272210E-015
0.138,9.0601829655294441E+000,1.3731649058066395E+000,6.2172489379008766E-015,6.1607200763862405E-015
0.141,9.0023922641937464E+000,1.4027092705375752E+000,5.7731597280508140E-015,5.7113167045113966E-015
0.144,8.9437992357558684E+000,1.4322337889587740E+000,6.6613381477509392E-015,6.5939699463745201E-015
0.147,8.8846436029371070E+000,1.4617380411881449E+000,7.5495165674510645E-015,7.4764635879310397E-015
0.15,8.8252735900196537E+000,1.4912216099068685E+000,7.3274719625260332E-015,7.2486878039601167E-015
0.153,8.7659039778567927E+000,1.5206840746436239E+000,8.4376949871511897E-015,8.3531704615281679E-015
0.156,8.7067928787632969E+000,1.5501250159507585E+000,7.1054273576010019E-015,7.0152151639768945E-015
0.159,8.6482219036959371E+000,1.5795440177985451E+000,6.8833827526759706E-015,6.7876066996102574E-015
0.162,8.5904482869440688E+000,1.6089406606116237E+000,6.8833827526759706E-015,6.7822281911995617E-015
0.165,8.5337340349818440E+000,1.6383145255087577E+000,7.1054273576010019E-015,6.9991430541402109E-015
0.168,8.4782147557114254E+000,1.6676652001699575E+000,5.3290705182007514E-015,5.2185550763744602E-015
0.171,8.4241502167371412E+000,1.6969922660876193E+000,6.6613381477509392E-015,6.5475705366745907E-015
0.174,8.3718166567464714E+000,1.7262953039332771E+000,6.4392935428259079E-015,6.3232575507345326E-015
0.177,8.3214640665546984E+000,1.7555738956865587E+000,5.7731597280508140E-015,5.6559643509600916E-015
0.18,8.2733424369771047E+000,1.7848276233270930E+000,6.2172489379008766E-015,6.1001283796071389E-015
0.183,8.2272591663474479E+000,1.8140560804837236E+000,4.8849813083506888E-015,4.7671605677547211E-015
0.186,8.1834519254637481E+000,1.8432588494603479E+000,4.8849813083506888E-015,4.7657511785602259E-015
0.189,8.1422331398240004E+000,1.8724355105932853E+000,4.8849813083506888E-015,4.7640588829834039E-015
0.192,8.1037948650519063E+000,1.9015856473870416E+000,5.3290705182007514E-015,5.2060187048277621E-015
0.195,8.0683291567711670E+000,1.9307088433461210E+000,4.8849813083506888E-015,4.7592088284965547E-015
0.198,8.0356562554865825E+000,1.9598046893296619E+000,6.6613381477509392E-015,6.5330282236591572E-015
0.201,8.0057856702063965E+000,1.9888727724530018E+000,7.5495165674510645E-015,7.4191541840340476E-015
0.204,7.9788937243660145E+000,2.0179126765318331E+000,6.6613381477509392E-015,6.5292933983365497E-015
0.207,7.9548628921858144E+000,2.0469239905825578E+000,6.6613381477509392E-015,6.5278289045916473E-015
0.21,7.9335350768028237E+000,2.0759063042918404E+000,5.3290705182007514E-015,5.1940970329573238E-015
0.213,7.9150008916349481E+000,2.1048592032374591E+000,6.2172489379008766E-015,6.0809947560555213E-015
0.216,7.8991430145679962E+000,2.1337822764021261E+000,5.3290705182007514E-015,5.1917384645324056E-015
0.219,7.8856834803749587E+000,2.1626751153753254E+000,6.2172489379008766E-015,6.0790685749704215E-015
0.222,7.8746467425855311E+000,2.1915373068391695E+000,5.7731597280508140E-015,5.6343733152267339E-015
0.225,7.8658869797039728E+000,2.2203684404640756E+000,6.2172489379008766E-015,6.0780906088202136E-015
0.228,7.8589536785004901E+000,2.2491681120248401E+000,5.7731597280508140E-015,5.6337216657484697E-015
0.231,7.8538223881066980E+000,2.2779359087602655E+000,6.2172489379008766E-015,6.0776685073572066E-015
0.234,7.8503238194017690E+000,2.3066714208109289E+000,6.2172489379008766E-015,6.0776450710556597E-015
0.237,7.8482887177800507E+000,2.3353742383167200E+000,6.6613381477509392E-015,6.5218113586629256E-015
0.24,7.8475478631510631E+000,2.3640439514168339E+000,6.2172489379008766E-015,6.0778813379073349E-015
0.243,7.8475838408136509E+000,2.3926801615930442E+000,6.2172489379008766E-015,6.0781251201614586E-015
0.246,7.8482677743209903E+000,2.4212824576712535E+000,6.2172489379008766E-015,6.0784327095137926E-015
0.249,7.8493921453478128E+000,2.4498504310394891E+000,6.6613381477509392E-015,6.5228772599916638E-015
0.252,7.8507051892995756E+000,2.4783836745274952E+000,6.6613381477509392E-015,6.5232669649808020E-015
0.255,7.8519478063059633E+000,2.5068817812043909E+000,6.6613381477509392E-015,6.5236781042485128E-015
0.258,7.8528703369104322E+000,2.5353443494625392E+000,5.3290705182007514E-015,5.1917988220570628E-015
0.261,7.8532128649718675E+000,2.5637709770483479E+000,5.3290705182007514E-015,5.1921261377777513E-015
0.264,7.8526905333702892E+000,2.5921612566121839E+000,4.8849813083506888E-015,4.7482987530940699E-015
0.267,7.8510217080511149E+000,2.6205147842434968E+000,5.7731597280508140E-015,5.6366495205492451E-015
0.27,7.8479180981219043E+000,2.6488311564767066E+000,5.7731597280508140E-015,5.6367075767236418E-015
0.273,7.8431706662396303E+000,2.6771099710921744E+000,5.7731597280508140E-015,5.6366755634074996E-015
0.276,7.8368670119138368E+000,2.7053508291429189E+000,5.3290705182007514E-015,5.1926637013627631E-015
0.279,7.8285715171699808E+000,2.7335533273109061E+000,5.3290705182007514E-015,5.1927491946773046E-015
0.282,7.8180615683722499E+000,2.7617170647710330E+000,5.7731597280508140E-015,5.6369574947981349E-015
0.285,7.8051174023935568E+000,2.7898416412318081E+000,5.3290705182007514E-015,5.1930511145046522E-015
0.288,7.7895221066155385E+000,2.8179266569353558E+000,4.8849813083506888E-015,4.7492433067091366E-015
0.291,7.7715997960954484E+000,2.8459717135756284E+000,4.4408920985006262E-015,4.3048653864290682E-015
0.294,7.7510447411339607E+000,2.8739764123007143E+000,4.8849813083506888E-015,4.7482643685262662E-015
0.297,7.7277157243476751E+000,2.9019403550681329E+000,4.4408920985006262E-015,4.3030439623412223E-015
0.3,7.7015305146156798E+000,2.9298631444647958E+000,4.4408920985006262E-015,4.3013631657410681E-015
0.303,7.6724216030304104E+000,2.9577443836314821E+000,3.9968028886505635E-015,3.8549239957694423E-015
