"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.01,9.9000000317068171E+000,9.9999968293183472E-002,0.0000000000000000E+000,0.0000000000000000E+000
0.02,9.8309086577609222E+000,1.9999304167657272E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.03,9.7897167945820183E+000,2.9996343008472404E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.04,9.7706865770698226E+000,3.9989534703441421E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.05,9.7659145636162421E+000,4.9977301211750941E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.06,9.7661069222408763E+000,5.9958065349287437E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.07,9.7614907169863372E+000,6.9930251037692903E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.08,9.7427720912683018E+000,7.9892283553245902E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.09,9.7020475542747207E+000,8.9842589775528681E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.1,9.6335791671090902E+000,9.9779598435841133E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.11,9.5343577478142780E+000,1.0970174036532234E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.12,9.4043989646026009E+000,1.1960744874274050E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.13,9.2467433333816373E+000,1.2949515934191220E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.14,9.0671601195761458E+000,1.3936331077871189E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.15,8.8735841281574253E+000,1.4921034475763244E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.16,8.6753405125551684E+000,1.5903470631785814E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.17,8.4822334833161239E+000,1.6883484407881102E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.18,8.3035881198154211E+000,1.7860921048513181E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.19,8.1473390789269224E+000,1.8835626205105691E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2,8.0192554039584696E+000,1.9807445960415266E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.21,7.9223773147163117E+000,2.0776226852836852E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.22,7.8567201093737848E+000,2.1741815900637067E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.23,7.8192741620555584E+000,2.2704060626111802E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.24,7.8043010161378126E+000,2.3662809079664209E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.25,7.8038965893538181E+000,2.4617909863799312E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.26,7.8087663600306083E+000,2.5569212157031411E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.27,7.8091366535932085E+000,2.6516565737700564E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.28,7.7957128260313286E+000,2.7459821007694307E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.29,7.7605905504229113E+000,2.8398829016070950E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.3,7.6980310032094366E+000,2.9333441482580640E+000,0.0000000000000000E+000,0.0000000000000000E+000
