"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,1.0000000000000000E+001,1.0000000000000000E+001,1.5000000000000000E+001,1.5000000000000000E+001
0.02,1.0298136100000001E+001,1.0298136100000001E+001,1.4803800000000003E+001,1.4803800000000003E+001
0.04,1.0592348199999998E+001,1.0592348199999998E+001,1.4607600000000005E+001,1.4607600000000005E+001
0.06,1.0882636299999998E+001,1.0882636299999998E+001,1.4411400000000008E+001,1.4411400000000008E+001
0.08,1.1169000400000000E+001,1.1169000400000000E+001,1.4215200000000010E+001,1.4215200000000010E+001
0.1,1.1451440500000002E+001,1.1451440500000002E+001,1.4019000000000013E+001,1.4019000000000013E+001
0.12,1.1729956600000001E+001,1.1729956600000001E+001,1.3822800000000015E+001,1.3822800000000015E+001
0.14,1.2004548700000001E+001,1.2004548700000001E+001,1.3626600000000018E+001,1.3626600000000018E+001
0.16,1.2275216800000003E+001,1.2275216800000003E+001,1.3430400000000020E+001,1.3430400000000020E+001
0.18,1.2541960900000003E+001,1.2541960900000003E+001,1.3234200000000023E+001,1.3234200000000023E+001
0.2,1.2804781000000002E+001,1.2804781000000002E+001,1.3038000000000025E+001,1.3038000000000025E+001
0.22,1.3063677100000003E+001,1.3063677100000003E+001,1.2841800000000028E+001,1.2841800000000028E+001
0.24,1.3318649200000007E+001,1.3318649200000007E+001,1.2645600000000030E+001,1.2645600000000030E+001
0.26,1.3569697300000007E+001,1.3569697300000007E+001,1.2449400000000033E+001,1.2449400000000033E+001
0.28,1.3816821400000006E+001,1.3816821400000006E+001,1.2253200000000035E+001,1.2253200000000035E+001
0.3,1.4060021500000007E+001,1.4060021500000007E+001,1.2057000000000038E+001,1.2057000000000038E+001
0.32,1.4299297600000010E+001,1.4299297600000010E+001,1.1860800000000040E+001,1.1860800000000040E+001
0.34,1.4534649700000010E+001,1.4534649700000010E+001,1.1664600000000043E+001,1.1664600000000043E+001
0.36,1.4766077800000010E+001,1.4766077800000010E+001,1.1468400000000045E+001,1.1468400000000045E+001
0.38,1.4993581900000013E+001,1.4993581900000013E+001,1.1272200000000048E+001,1.1272200000000048E+001
0.4,1.5217162000000016E+001,1.5217162000000016E+001,1.1076000000000050E+001,1.1076000000000050E+001
0.42,1.5436818100000014E+001,1.5436818100000014E+001,1.0879800000000053E+001,1.0879800000000053E+001
0.44,1.5652550200000015E+001,1.5652550200000015E+001,1.0683600000000055E+001,1.0683600000000055E+001
0.46,1.5864358300000017E+001,1.5864358300000017E+001,1.0487400000000058E+001,1.0487400000000058E+001
0.48,1.6072242400000015E+001,1.6072242400000015E+001,1.0291200000000060E+001,1.0291200000000060E+001
0.5,1.6276202500000014E+001,1.6276202500000014E+001,1.0095000000000063E+001,1.0095000000000063E+001
0.52,1.6476238600000016E+001,1.6476238600000016E+001,9.8988000000000653E+000,9.8988000000000653E+000
0.54,1.6672350700000013E+001,1.6672350700000013E+001,9.7026000000000678E+000,9.7026000000000678E+000
0.56,1.6864538800000016E+001,1.6864538800000016E+001,9.5064000000000703E+000,9.5064000000000703E+000
0.58,1.7052802900000017E+001,1.7052802900000017E+001,9.3102000000000729E+000,9.3102000000000729E+000
0.6,1.7237143000000021E+001,1.7237143000000021E+001,9.1140000000000754E+000,9.1140000000000754E+000
0.62,1.7417559100000023E+001,1.7417559100000023E+001,8.9178000000000779E+000,8.9178000000000779E+000
0.64,1.7594051200000024E+001,1.7594051200000024E+001,8.7216000000000804E+000,8.7216000000000804E+000
0.66,1.7766619300000027E+001,1.7766619300000027E+001,8.5254000000000829E+000,8.5254000000000829E+000
