"time","q@INJ01","volume@INJ01","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
4e-005,-9.8316162497525118E-009,-6.5537589238515152E-015,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
7e-005,-9.8316092657116939E-009,-1.1469563598463347E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0001,-9.8316162497525118E-009,-1.6385368696044305E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00013,-9.8316162497525118E-009,-2.1301173673517673E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00016,-9.8316162497525118E-009,-2.6216978142041745E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0002,-9.8315952976300564E-009,-3.2771383181144229E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00023,-9.8316372018749688E-009,-3.7687186538975011E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00026,-9.8316022816708743E-009,-4.2602989930312805E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00029,-9.8316092657116939E-009,-4.7518793662481954E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00032,-9.8316022816708743E-009,-5.2434597921563960E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00036,-9.8316092657116939E-009,-5.8989004661525262E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00039,-9.8316162497525118E-009,-6.3904811128102273E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00042,-9.8316302178341492E-009,-6.8820620570005791E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00045,-9.8316441859157867E-009,-7.3736437994298070E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00048,-9.8316791061198844E-009,-7.8652272255952729E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00052,-9.8318118028954394E-009,-8.5206771268926272E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00055,-9.8319654517934563E-009,-9.0122720151147455E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00058,-9.8322238613037533E-009,-9.5038778257671592E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00061,-9.8326219516304314E-009,-9.9955003596703774E-014,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00064,-9.8331667068143152E-009,-1.0487147172921466E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00068,-9.8342212969779486E-009,-1.1142730219333559E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00071,-9.8352619190599577E-009,-1.1634471898217536E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00074,-9.8365330144889526E-009,-1.2126272730468519E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00077,-9.8380066471016880E-009,-1.2618143354838905E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0008,-9.8396339286123956E-009,-1.3110092436507617E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00084,-9.8419037418783847E-009,-1.3766155394615228E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00087,-9.8435519755115113E-009,-1.4258300941004853E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.0009,-9.8450395762057800E-009,-1.4750524510328091E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00093,-9.8462478152673194E-009,-1.5242814452378127E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00096,-9.8470998682471378E-009,-1.5735154101648265E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.001,-9.8475328787778541E-009,-1.6391648457357809E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00103,-9.8473233575533138E-009,-1.6884020823786312E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00106,-9.8466947938796765E-009,-1.7376369661269653E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00109,-9.8457030600835118E-009,-1.7868675395770813E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00112,-9.8444459327362404E-009,-1.8360923045117650E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00116,-9.8425881778785752E-009,-1.9017148067127784E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00119,-9.8412332739598234E-009,-1.9509235833093320E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00122,-9.8400110668165886E-009,-2.0001259525699702E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00125,-9.8390193330203693E-009,-2.0493229040703804E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00128,-9.8382929927752483E-009,-2.0985157060365913E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00132,-9.8377412535505797E-009,-2.1641019558978809E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00135,-9.8375596684892994E-009,-2.2132900474674149E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00138,-9.8375247482852066E-009,-2.2624777002573391E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00141,-9.8375247482852066E-009,-2.3116653163039956E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00144,-9.8374968121219317E-009,-2.3608528879229009E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00148,-9.8373082430198303E-009,-2.4264355616834519E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00151,-9.8370079292646176E-009,-2.4756211830847667E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
0.00154,-9.8365819027746828E-009,-2.5248049245805302E-013,1.0000000000000000E+030,1.0000000000000001E-005,1.0000000000000000E-003,0,0,0,0,8,0,1
