"time","level","level2","level3"
0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.13,4.1666668839752674E-003,4.1666668839752674E-003,0.0000000000000000E+000
0.24,2.5000000372529030E-002,2.5000000372529030E-002,0.0000000000000000E+000
0.36,8.7500005960464478E-002,8.7500005960464478E-002,0.0000000000000000E+000
0.48,1.5000002086162567E-001,1.5000002086162567E-001,0.0000000000000000E+000
0.6,2.2916668653488159E-001,2.2916668653488159E-001,0.0000000000000000E+000
0.72,3.7916669249534607E-001,3.7916669249534607E-001,0.0000000000000000E+000
0.84,5.0000000000000000E-001,5.0000000000000000E-001,0.0000000000000000E+000
0.96,7.1250009536743164E-001,7.1250009536743164E-001,0.0000000000000000E+000
1.08,8.7500005960464478E-001,8.7500005960464478E-001,0.0000000000000000E+000
1.2,1.0541667938232422E+000,1.0541667938232422E+000,0.0000000000000000E+000
1.32,1.3541667461395264E+000,1.3541667461395264E+000,0.0000000000000000E+000
1.44,1.5749999284744263E+000,1.5749999284744263E+000,0.0000000000000000E+000
1.56,1.9375001192092896E+000,1.9375001192092896E+000,0.0000000000000000E+000
1.68,2.1999998092651367E+000,2.1999998092651367E+000,0.0000000000000000E+000
1.8,2.4791665077209473E+000,2.4791665077209473E+000,0.0000000000000000E+000
1.92,2.9291663169860840E+000,2.9291663169860840E+000,0.0000000000000000E+000
2.04,3.2499995231628418E+000,3.2499995231628418E+000,0.0000000000000000E+000
2.17,3.7499995231628418E+000,3.7499995231628418E+000,0.0000000000000000E+000
2.29,4.0833330154418945E+000,4.0833330154418945E+000,0.0000000000000000E+000
2.41,4.5833330154418945E+000,4.5833330154418945E+000,0.0000000000000000E+000
2.53,4.9166674613952637E+000,4.9166674613952637E+000,0.0000000000000000E+000
2.65,5.2500009536743164E+000,5.2500009536743164E+000,0.0000000000000000E+000
2.77,5.7500014305114746E+000,5.7500014305114746E+000,0.0000000000000000E+000
2.89,6.0833349227905273E+000,6.0833349227905273E+000,0.0000000000000000E+000
3.01,6.5833349227905273E+000,6.5833349227905273E+000,0.0000000000000000E+000
3.13,6.9166674613952637E+000,6.9166674613952637E+000,0.0000000000000000E+000
3.25,7.2500004768371582E+000,7.2500004768371582E+000,0.0000000000000000E+000
3.37,7.7499995231628418E+000,7.7499995231628418E+000,0.0000000000000000E+000
3.49,8.0833320617675781E+000,8.0833320617675781E+000,0.0000000000000000E+000
3.61,8.5833311080932617E+000,8.5833311080932617E+000,0.0000000000000000E+000
